"id","conversation_key","sender","send_time","chat_with","content","source_file","source_path","created_at"
487,951f8db4e6cb82c4,Charm Aries,24/11/2025 14:25:08,Charm_aries,尊敬的顾客，我们看到您已向我们下了多个订单。作为尊贵的回头客，我们为您准备了一张礼金券，供您下次购买时使用。请随时联系我们！,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
488,951f8db4e6cb82c4,Charm Aries,24/11/2025 14:26:29,Charm_aries,https://www.dreamerluxe.com,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
489,951f8db4e6cb82c4,Charm Aries,24/11/2025 14:27:04,Charm_aries,“我们还销售手袋和手表。如果您看到任何您喜欢的东西，请随时与我联系！”,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
490,951f8db4e6cb82c4,🇺🇸⑤PinkhasovaMira-CA21745,9/12/2025 22:14:50,Charm_aries,您好。我刚收到漂亮的手镯，但它们太小了。我可以退货并放大尺寸吗？谢谢。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
491,951f8db4e6cb82c4,Charm Aries,9/12/2025 23:33:20,Charm_aries,我可以给您一张优惠券，供您再次购买。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
492,951f8db4e6cb82c4,🇺🇸⑤PinkhasovaMira-CA21745,9/12/2025 23:42:38,Charm_aries,（ 掌聲 ） 謝謝 。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
493,951f8db4e6cb82c4,Charm Aries,10/12/2025 00:00:15,Charm_aries,我稍后会提供。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
494,951f8db4e6cb82c4,🇺🇸⑤PinkhasovaMira-CA21745,10/12/2025 00:03:40,Charm_aries,谢谢,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
495,951f8db4e6cb82c4,Charm Aries,10/12/2025 10:07:13,Charm_aries,亲爱的，两个手镯尺寸都太小了吗？,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
496,951f8db4e6cb82c4,🇺🇸⑤PinkhasovaMira-CA21745,10/12/2025 10:07:47,Charm_aries,您好，是的，它们都太小了。连夹子都夹不住。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
497,951f8db4e6cb82c4,Charm Aries,10/12/2025 10:11:40,Charm_aries,好的，我会为您提供一张40 $的回购优惠券。,_chat.txt,C:\Users\sunsh\Desktop\语料\Charm_aries\Charm_aries\_chat.txt,"13/3/2026 08:11:10.-1f"
